"firstname","lastname","username","email","password","role","fields","description","asso_node","messages","events","asso_users","pending_users"
"Jake","Kim","jake#23342","jake@342#af.cd","b4d3dcd9bd6da370fe2c09f02071a5b5",False,"{""Computer Science"",Biology}","I am a mentee.",NULL,NULL,NULL,NULL,NULL
"Kim","Kim","Kim","bob23@bob234.bob3","[object Object]f6e0a1e2ac41945a9aa7ff8a8aaa0cebc12a3bcc981a929ad5cf810a090e11ae",False,"{""Computer Science"",Biology}","dsf",NULL,NULL,NULL,NULL,NULL
"Kim","Kim","Kim:>","bob23@bob234.bob3","[object Object]f6e0a1e2ac41945a9aa7ff8a8aaa0cebc12a3bcc981a929ad5cf810a090e11ae",False,"{""Computer Science"",Biology}","dsf",NULL,NULL,NULL,NULL,NULL
"Kim","Kim","Kim:)","bob23@bob234.bob3","[object Object]f6e0a1e2ac41945a9aa7ff8a8aaa0cebc12a3bcc981a929ad5cf810a090e11ae",False,"{""Computer Science"",Biology}","dsf",NULL,NULL,NULL,NULL,NULL
"Kim","Kim","Kim:(","bob23@bob234.bob3","[object Object]f6e0a1e2ac41945a9aa7ff8a8aaa0cebc12a3bcc981a929ad5cf810a090e11ae",False,"{""Computer Science"",Biology}","dsf",NULL,NULL,NULL,NULL,NULL
"Kim","Kim","Kim:()","bob23@bob234.bob3","[object Object]f6e0a1e2ac41945a9aa7ff8a8aaa0cebc12a3bcc981a929ad5cf810a090e11ae",False,"{""Computer Science"",Biology}","dsf",NULL,NULL,NULL,NULL,NULL
"Kim","Kim","Kim:())()()(","bob23@bob234.bob3","[object Object]68f1927d51ddd7b49c381c7c7d006b813565e3b95f09136cdfc96f529a352a4e",False,"{""Computer Science"",Biology}","dsf",NULL,NULL,NULL,NULL,NULL
"Kim","Kim","Kim:())()()()","bob23@bob234.bob3","[object Object]f6e0a1e2ac41945a9aa7ff8a8aaa0cebc12a3bcc981a929ad5cf810a090e11ae",False,"{""Computer Science"",Biology}","dsf",NULL,NULL,NULL,NULL,NULL
"Kim","Kim","Kim:())()()()(","bob23@bob234.bob3","[object Object]f6e0a1e2ac41945a9aa7ff8a8aaa0cebc12a3bcc981a929ad5cf810a090e11ae",False,"{""Computer Science"",Biology}","dsf",NULL,NULL,NULL,NULL,NULL
"Kim","Kim","Kim:())()()()(-","bob23@bob234.bob3","[object Object]f6e0a1e2ac41945a9aa7ff8a8aaa0cebc12a3bcc981a929ad5cf810a090e11ae",False,"{""Computer Science"",Biology}","dsf",NULL,NULL,NULL,NULL,NULL
